address,post_code,state,city,url,latitude,longitude
222 5th Ave N,98109-5001,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/222-5th-ave-n/5573.html,47.620527,-122.347155
5400 14th Ave Nw,98107-3733,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5400-14th-ave-nw/459.html,47.668354,-122.37307
5146 25th Ave Ne,98105-4121,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5146-25th-ave-ne/1697.html,47.667733,-122.300355
9000 Holman Rd Nw,98117,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/9000-holman-rd-nw/13375.html,47.695071,-122.3745
2401 4th Ave S,98134-1925,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2401-4th-ave-s/10755.html,47.581513,-122.329522
3003 California Ave Sw,98116-3301,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/3003-california-ave-sw/13604.html,47.576649,-122.387001
2147 Northgate Way,98133-9006,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2147-northgate-way/6443.html,47.708315,-122.33165
2336 25th Ave S,98144-5337,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2336-25th-ave-s/435.html,47.581633,-122.300053
222 5th Ave N,98109-5001,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/222-5th-ave-n/5573.html,47.620527,-122.347155
2401 4th Ave S,98134-1925,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2401-4th-ave-s/10755.html,47.581513,-122.329522
2336 25th Ave S,98144-5337,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2336-25th-ave-s/435.html,47.581633000000004,-122.300053
3003 California Ave Sw,98116-3301,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/3003-california-ave-sw/13604.html,47.576648999999996,-122.387001
5400 14th Ave Nw,98107-3733,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5400-14th-ave-nw/459.html,47.668354,-122.37307
5146 25th Ave Ne,98105-4121,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5146-25th-ave-ne/1697.html,47.667733,-122.30035500000001
222 5th Ave N,98109-5001,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/222-5th-ave-n/5573.html,47.620527,-122.347155
5146 25th Ave Ne,98105-4121,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5146-25th-ave-ne/1697.html,47.667733,-122.300355
5400 14th Ave Nw,98107-3733,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/5400-14th-ave-nw/459.html,47.668354,-122.37307
2401 4th Ave S,98134-1925,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2401-4th-ave-s/10755.html,47.581513,-122.329522
2336 25th Ave S,98144-5337,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/2336-25th-ave-s/435.html,47.581633,-122.300053
9000 Holman Rd Nw,98117,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/9000-holman-rd-nw/13375.html,47.695071,-122.3745
3003 California Ave Sw,98116-3301,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/3003-california-ave-sw/13604.html,47.576649,-122.387001
9304 Rainier Ave S,98118-5502,Wa,Seattle,https://www.mcdonalds.com//content/us/en-us/location/wa/seattle/9304-rainier-ave-s/4891.html,47.520192,-122.266902
73 Rainier Ave S,98057-2005,Wa,Renton,https://www.mcdonalds.com//content/us/en-us/location/wa/renton/73-rainier-ave-s/953.html,47.484108,-122.217821
743 Rainier Ave S,98057-3204,Wa,Renton,https://www.mcdonalds.com//content/us/en-us/location/wa/renton/743-rainier-ave-s/19349.html,47.472142,-122.221038
15210 Pacific Hwy W,98188-2246,Wa,Tukwila,https://www.mcdonalds.com//content/us/en-us/location/wa/tukwila/15210-pacific-hwy-w/472.html,47.466338,-122.287806
401 S Grady Way,98057-3212,Wa,Renton,https://www.mcdonalds.com//content/us/en-us/location/wa/renton/401-s-grady-way/15723.html,47.471234,-122.212643
