country,state,city,zip_code,scraped
united states,washington,seattle,98101,True
united states,washington,seattle,98102,True
united states,washington,seattle,98103,True
united states,washington,seattle,98104,True
united states,washington,seattle,98105,True
united states,washington,seattle,98106,True
united states,washington,seattle,98107,True
united states,washington,seattle,98108,True
united states,washington,seattle,98109,True
united states,washington,seattle,98111,True
united states,washington,seattle,98112,True
united states,washington,seattle,98113,True
united states,washington,seattle,98114,True
united states,washington,seattle,98115,True
united states,washington,seattle,98116,True
united states,washington,seattle,98117,True
united states,washington,seattle,98118,True
united states,washington,seattle,98119,True
united states,washington,seattle,98121,True
united states,washington,seattle,98122,True
united states,washington,seattle,98124,True
united states,washington,seattle,98125,True
united states,washington,seattle,98126,True
united states,washington,seattle,98127,True
united states,washington,seattle,98129,True
united states,washington,seattle,98131,True
united states,washington,seattle,98133,True
united states,washington,seattle,98134,True
united states,washington,seattle,98136,True
united states,washington,seattle,98138,True
united states,washington,seattle,98139,True
united states,washington,seattle,98141,True
united states,washington,seattle,98144,True
united states,washington,seattle,98145,True
united states,washington,seattle,98146,True
united states,washington,seattle,98148,True
united states,washington,seattle,98154,True
united states,washington,seattle,98155,True
united states,washington,seattle,98158,True
united states,washington,seattle,98160,True
united states,washington,seattle,98161,True
united states,washington,seattle,98164,True
united states,washington,seattle,98165,True
united states,washington,seattle,98166,True
united states,washington,seattle,98168,True
united states,washington,seattle,98170,True
united states,washington,seattle,98174,True
united states,washington,seattle,98175,True
united states,washington,seattle,98177,True
united states,washington,seattle,98178,True
united states,washington,seattle,98181,True
united states,washington,seattle,98185,True
united states,washington,seattle,98188,True
united states,washington,seattle,98190,True
united states,washington,seattle,98191,True
united states,washington,seattle,98194,True
united states,washington,seattle,98195,True
united states,washington,seattle,98198,True
united states,washington,seattle,98199,True
united states,arizona,phoenix,85001,True
united states,arizona,phoenix,85002,True
united states,arizona,phoenix,85003,True
united states,arizona,phoenix,85004,True
united states,arizona,phoenix,85005,True
united states,arizona,phoenix,85006,True
united states,arizona,phoenix,85007,True
united states,arizona,phoenix,85008,True
united states,arizona,phoenix,85009,True
united states,arizona,phoenix,85010,True
united states,arizona,phoenix,85011,True
united states,arizona,phoenix,85012,True
united states,arizona,phoenix,85013,True
united states,arizona,phoenix,85014,True
united states,arizona,phoenix,85015,True
united states,arizona,phoenix,85016,True
united states,arizona,phoenix,85017,True
united states,arizona,phoenix,85018,True
united states,arizona,phoenix,85019,True
united states,arizona,phoenix,85020,True
united states,arizona,phoenix,85021,True
united states,arizona,phoenix,85022,True
united states,arizona,phoenix,85023,True
united states,arizona,phoenix,85024,True
united states,arizona,phoenix,85025,True
united states,arizona,phoenix,85026,True
united states,arizona,phoenix,85027,True
united states,arizona,phoenix,85028,True
united states,arizona,phoenix,85029,True
united states,arizona,phoenix,85030,True
united states,arizona,phoenix,85031,True
united states,arizona,phoenix,85032,True
